iso3,year,deaths,gdp_pc,vehicles_pc,pop_total,death_rate,log_pop
FRA,2000,0,33255.1379678188,NA,60918661,0,17.925050106104244
BEL,1987,0,26755.6979944897,NA,9870234,0,16.105034119335315
USA,2018,2,60127.2102762459,NA,326838199,6.119235775130434e-4,19.604975802124148
HKG,1971,0,7122.10498405031,NA,4045300,0,15.213066271361182
BGR,1969,0,NA,NA,8434172,0,15.947802106725463
AUS,1992,0,36029.4845675544,NA,17478635,0,16.676489835897687
LCA,2000,0,9198.95514428292,NA,158616,0,11.974241465818398
CRI,1964,2,3718.23603135768,NA,1533960,0.13038149625805107,14.243363184950068
ISR,1976,1,17655.852090343,NA,3533000,0.02830455703368242,15.077657926341285
SWE,1978,0,27510.7438516574,NA,8275599,0,15.92882186331456
SVN,1990,0,13615.5857769678,NA,1998161,0,14.507737815524775
CHE,1964,0,45930.2929814822,NA,5789228,0,15.571509507326166
SUR,1963,0,4025.39761164569,NA,297034,0,12.601601889347195
BRA,2005,219,7409.56913269792,NA,184688101,0.11857829433202088,19.03417901970491
AUT,1976,0,22533.8803939277,NA,7565525,0,15.839112301342562
SGP,2008,0,44601.5799302699,NA,4839396,0,15.392300477517042
BEL,1986,0,26174.7551583459,NA,9861823,0,16.10418159792719
MKD,1999,0,3154.84918240006,NA,2017142,0,14.517192216044789
BHS,2000,0,32443.4821122756,NA,323835,0,12.68798940579867
GTM,1977,5,3105.80777279063,NA,6401515,0.07810651072441445,15.672045239066438
EST,1991,4,8637.20576020448,NA,1561314,0.2561944618443183,14.261038332375978
CRI,1990,3,6037.05111668102,NA,3121706,0.0961012984566772,14.953890205219617
AUS,1964,0,21607.4922239031,NA,11167000,0,16.22847355842793
DMA,1991,0,5111.17472955732,NA,69296,0,11.146142463454408
EST,2010,0,14657.9387698819,NA,1331475,0,14.101797908243109
BRN,2010,0,33121.3176732283,NA,392332,0,12.87986369909784
TTO,1960,0,4291.33151924754,NA,844943,0,13.647024448442776
RUS,2019,99,9882.0244140625,NA,145453291,0.06806308700158596,18.795365568981588
SLV,2017,0,3954.84014277572,NA,6213533,0,15.642240213230416
CHL,1997,0,8058.94228775841,NA,14932434,0,16.519046183689326
GBR,1970,0,19285.6497580384,NA,55663250,0,17.83483070258375
LUX,1995,0,74896.0965788046,NA,408625,0,12.920553144026512
TTO,1989,0,6021.59411328172,NA,1241600,0,14.03191142841109
SLV,1997,1,2842.88487409077,NA,5844578,0.01710987516977273,15.581024951821648
GTM,1997,2,3019.28714461763,NA,10857754,0.01842001577858551,16.200390037084784
UZB,2000,0,1269.72137546203,NA,24787054,0,17.025832058708325
CRI,1995,1,6940.83702069434,NA,3535176,0.02828713478480279,15.078273643909364
GEO,1996,0,1187.123206219,NA,4491699,0,15.317741584581086
ECU,1997,9,4192.85523208483,NA,12031127,0.07480595957469321,16.30300776602345
